Date,Open Price,Close Price,Adj Close,Volume
2022-01-03,605.609985,597.369995,597.369995,3067500
2022-01-04,599.909973,591.150024,591.150024,4393100
2022-01-05,592.0,567.52002,567.52002,4148700
2022-01-06,554.340027,553.289978,553.289978,5711800
2022-01-07,549.460022,541.059998,541.059998,3382900
2022-01-10,538.48999,539.849976,539.849976,4486100
2022-01-11,536.98999,540.840027,540.840027,3077800
2022-01-12,544.27002,537.219971,537.219971,3787400
2022-01-13,537.059998,519.200012,519.200012,4475100
2022-01-14,517.599976,525.690002,525.690002,7861100
2022-01-18,520.080017,510.799988,510.799988,4839100
2022-01-19,515.0,515.859985,515.859985,4353500
2022-01-20,517.75,508.25,508.25,12659000
2022-01-21,400.429993,397.5,397.5,58904300
2022-01-24,383.910004,387.149994,387.149994,32346000
2022-01-25,379.140015,366.420013,366.420013,15145800
2022-01-26,378.269989,359.700012,359.700012,12684000
2022-01-27,382.059998,386.700012,386.700012,24324700
2022-01-28,386.76001,384.359985,384.359985,11966600
2022-01-31,401.970001,427.140015,427.140015,20047500
2022-02-01,432.959991,457.130005,457.130005,22568100
2022-02-02,448.25,429.480011,429.480011,14346000
2022-02-03,421.440002,405.600006,405.600006,9905200
2022-02-04,407.309998,410.170013,410.170013,7789800
2022-02-07,410.170013,402.100006,402.100006,8232900
2022-02-08,398.179993,403.529999,403.529999,6818500
2022-02-09,408.649994,412.890015,412.890015,7738200
2022-02-10,402.100006,406.269989,406.269989,8452900
2022-02-11,405.329987,391.309998,391.309998,7558900
2022-02-14,387.589996,396.570007,396.570007,7202200
2022-02-15,403.790009,407.459991,407.459991,5392300
2022-02-16,401.529999,398.079987,398.079987,5277700
2022-02-17,394.23999,386.670013,386.670013,4669200
2022-02-18,392.529999,391.290009,391.290009,6801700
2022-02-22,388.950012,377.380005,377.380005,6697500
2022-02-23,382.720001,367.459991,367.459991,4614300
2022-02-24,355.089996,390.029999,390.029999,7068700
2022-02-25,386.609985,390.799988,390.799988,4841600
2022-02-28,387.329987,394.519989,394.519989,5035000
2022-03-01,391.600006,386.23999,386.23999,3290400
2022-03-02,388.929993,380.029999,380.029999,5356800
2022-03-03,386.0,368.070007,368.070007,6076800
